t,r
2019-06-13,0.407144818
2019-06-14,-0.1643909
2019-06-17,0.085170918
2019-06-18,0.977714087
2019-06-19,0.28951207
2019-06-20,0.944137994
2019-06-21,-0.118547636
2019-06-25,-1.131211035
2019-06-26,-0.122441645
2019-06-27,0.370295306
2019-06-28,0.538092201
2019-07-01,0.811868444
2019-07-02,0.291702522
2019-07-03,0.760944075
2019-07-05,-0.174394758
2019-07-08,-0.487039797
2019-07-09,0.122234215
2019-07-10,0.444022509
2019-07-11,0.229941548
2019-07-12,0.456311988
2019-07-15,0.021898464
2019-07-16,-0.34529262
2019-07-17,-0.646592126
2019-07-18,0.352537024
2019-07-19,-0.608519449
2019-07-22,0.276084342
2019-07-23,0.683400955
2019-07-24,0.463065987
2019-07-25,-0.512653067
2019-07-26,0.721409323
2019-07-29,-0.166705294
2019-07-30,-0.249252703
2019-07-31,-1.109253725
2019-08-01,-0.892217522
2019-08-02,-0.725825258
2019-08-05,-3.029548556
2019-08-06,1.298876041
2019-08-07,0.075616469
2019-08-08,1.871043266
2019-08-09,-0.672317923
2019-08-12,-1.259769054
2019-08-13,1.197396068
2019-08-14,-2.659653633
2019-08-15,0.253159351
2019-08-16,1.43678178
2019-08-19,1.18990035
2019-08-20,-0.774683924
2019-08-21,0.809226179
2019-08-22,-0.042752071
2019-08-23,-2.618121149
2019-08-26,1.089673999
2019-08-27,-0.353889056
2019-08-28,0.669486768
2019-08-29,1.260046675
2019-08-30,0.020513592
2019-09-03,-0.64476746
2019-09-04,1.076285622
2019-09-05,1.28886983
2019-09-06,0.093371943
2019-09-09,-0.00503583
2019-09-10,0.014435367
2019-09-11,0.720457464
2019-09-12,0.307138119
2019-09-13,-0.090080364
2019-09-16,-0.308416066
2019-09-17,0.251866644
2019-09-18,0.045574683
2019-09-19,-0.010975944
2019-09-20,-0.49617137
2019-09-23,0.01002781
2019-09-24,-0.829682521
2019-09-25,0.598453071
2019-09-26,-0.229414825
2019-09-27,-0.541745783
2019-09-30,0.495732404
2019-10-01,-1.237166817
2019-10-02,-1.788277459
2019-10-03,0.790839672
2019-10-04,1.390526992
2019-10-07,-0.445481921
2019-10-08,-1.566015253
2019-10-09,0.915630327
2019-10-10,0.644939952
2019-10-11,1.065292923
2019-10-14,-0.125336099
2019-10-15,0.986300542
2019-10-16,-0.18277051
2019-10-17,0.26886091
2019-10-18,-0.400046654
2019-10-21,0.685482787
2019-10-22,-0.349830106
2019-10-23,0.276633647
2019-10-24,0.188538451
2019-10-25,0.397192988
2019-10-28,0.564554748
2019-10-29,-0.084266247
2019-10-30,0.337624361
2019-10-31,-0.306345397
2019-11-01,0.957001536
2019-11-04,0.375898081
2019-11-05,-0.118312437
2019-11-06,0.06372409
2019-11-07,0.281395478
2019-11-08,0.243754521
2019-11-11,-0.192234935
2019-11-12,0.159574588
2019-11-13,0.062401086
2019-11-14,0.098856695
2019-11-15,0.752108184
2019-11-19,-0.005127844
2019-11-20,-0.377296535
2019-11-21,-0.159373359
2019-11-22,0.214049101
2019-11-25,0.750849992
2019-11-26,0.213269656
2019-11-27,0.429935981
2019-11-29,-0.405736784
2019-12-02,-0.847585984
2019-12-03,-0.681404553
2019-12-04,0.633230663
2019-12-05,0.154074827
2019-12-06,0.896930001
2019-12-09,-0.314238898
2019-12-10,-0.111031359
2019-12-11,0.284032687
2019-12-12,0.857389454
2019-12-13,0.009467844
2019-12-17,0.735117099
2019-12-18,-0.024124583
2019-12-19,0.433042554
2019-12-20,0.495769246
2019-12-23,0.089989176
2019-12-24,-0.021093643
2019-12-26,0.516443605
2019-12-27,-0.003395046
2019-12-30,-0.570458206
2019-12-31,0.269384438
2020-01-02,0.857554121
2020-01-03,-0.727307298
2020-01-06,0.366009124
2020-01-07,-0.28133145
2020-01-08,0.491197053
2020-01-09,0.659647752
2020-01-10,-0.284098485
2020-01-13,0.690643992
2020-01-14,-0.161323251
2020-01-15,0.208453549
2020-01-16,0.830098856
2020-01-17,0.369536003
2020-01-21,-0.249015945
2020-01-22,0.024387637
2020-01-23,0.111024035
2020-01-24,-0.907137761
2020-01-27,-1.596387889
2020-01-28,1.013583338
2020-01-29,-0.084888612
2020-01-30,0.305932363
2020-01-31,-1.801407568
2020-02-03,0.736528685
2020-02-04,1.49549945
2020-02-05,1.116949321
2020-02-06,0.329617825
2020-02-07,-0.541854055
2020-02-10,0.73355599
2020-02-11,0.168406158
2020-02-12,0.639440755
2020-02-13,-0.148956077
2020-02-14,0.166413532
2020-02-18,-0.281465822
2020-02-19,0.462961049
2020-02-20,-0.389407209
2020-02-21,-1.047891473
2020-02-24,-3.405694361
2020-02-25,-3.068612683
2020-02-26,-0.383664947
2020-02-27,-4.536753546
2020-02-28,-0.77118952
2020-03-02,4.470506018
2020-03-03,-2.87640144
2020-03-04,4.147674481
2020-03-05,-3.447810501
2020-03-06,-1.718047291
2020-03-09,-7.949869909
2020-03-10,4.852769272
2020-03-11,-4.99967186
2020-03-12,-9.977861703
2020-03-13,8.77302564
2020-03-16,-12.67027114
2020-03-17,5.807160236
2020-03-18,-5.299263774
2020-03-19,0.464250297
2020-03-20,-4.466043162
2020-03-23,-2.974065905
2020-03-24,8.961190321
2020-03-25,1.162692748
2020-03-26,5.971630687
2020-03-27,-3.32219186
2020-03-30,3.291356977
2020-03-31,-1.612789613
2020-04-01,-4.501085179
2020-04-02,2.236096138
2020-04-03,-1.516633758
2020-04-06,6.718940097
2020-04-07,-0.099993242
2020-04-08,3.344172341
2020-04-09,1.451619174
2020-04-13,-0.998707686
2020-04-14,2.996211645
2020-04-15,-2.200256801
2020-04-16,0.556673442
2020-04-17,2.633484464
2020-04-20,-1.796448139
2020-04-21,-3.108510558
2020-04-22,2.247894636
2020-04-23,-0.037167016
2020-04-24,1.382279839
2020-04-27,1.44477601
2020-04-28,-0.498481381
2020-04-29,2.619081212
2020-04-30,-0.938887384
2020-05-01,-2.813506631
2020-05-05,1.28789526
2020-05-06,-0.678025625
2020-05-07,1.134791182
2020-05-08,1.655359768
2020-05-11,0.024576902
2020-05-12,-2.063507263
2020-05-13,-1.762062577
2020-05-14,1.153616218
2020-05-15,0.402317891
2020-05-18,3.0519083
2020-05-19,-1.038236511
2020-05-20,1.666139662
2020-05-21,-0.764809165
2020-05-22,0.223899776
2020-05-26,1.226745181
2020-05-27,1.462844325
2020-05-28,-0.207389262
2020-05-29,0.445241403
2020-06-01,0.403676591
2020-06-02,0.82164964
2020-06-03,1.352454593
2020-06-04,-0.338089572
2020-06-05,2.571832219
2020-06-08,1.217919779
2020-06-09,-0.780464194
2020-06-10,-0.546805652
2020-06-11,-6.049550926
2020-06-12,1.266183206
2020-06-15,0.859866856
2020-06-16,1.901528286
2020-06-17,-0.405814011
2020-06-18,0.061651293
2020-06-19,-0.555911964
2020-06-23,1.068199966
2020-06-24,-2.603826808
2020-06-25,1.063562329
2020-06-26,-2.440522674
2020-06-29,1.46738841
2020-06-30,1.488120765
2020-07-01,0.535778488
2020-07-02,0.454044103
2020-07-06,1.570283081
2020-07-07,-1.077273279
2020-07-08,0.777107537
2020-07-09,-0.563704343
2020-07-10,1.028216922
2020-07-13,-0.927390006
2020-07-14,1.324726996
2020-07-15,0.903774864
2020-07-16,-0.340563516
2020-07-17,0.282901433
2020-07-21,1.00554525
2020-07-22,0.575191875
2020-07-23,-1.23835267
2020-07-24,-0.623109057
2020-07-27,0.735845333
2020-07-28,-0.641665075
2020-07-29,1.231070744
2020-07-30,-0.369549798
2020-07-31,0.755776608
2020-08-03,0.712780933
2020-08-04,0.363869778
2020-08-05,0.636082683
2020-08-06,0.6434088
2020-08-07,0.064770225
2020-08-10,0.27889782
2020-08-11,-0.789240372
2020-08-12,1.36601613
2020-08-13,-0.199596136
2020-08-14,-0.017194559
2020-08-17,0.280967672
2020-08-18,0.219133183
2020-08-19,-0.437266117
2020-08-20,0.31476429
2020-08-21,0.3423333
2020-08-25,1.357152202
2020-08-26,1.016979464
2020-08-27,0.1737565
2020-08-28,0.657534892
2020-09-01,0.53733764
2020-09-02,1.49578896
2020-09-03,-3.549164495
2020-09-04,-0.835287862
2020-09-08,-2.792858477
2020-09-09,1.984964486
2020-09-10,-1.782888492
2020-09-11,0.06198004
2020-09-14,1.262345587
2020-09-15,0.521506265
2020-09-16,-0.450298553
2020-09-17,-0.847431278
2020-09-18,-1.157367272
2020-09-21,-1.12123406
2020-09-22,1.031393296
2020-09-23,-2.395536147
2020-09-24,0.293974963
2020-09-25,1.595682643
2020-09-28,1.608213882
2020-09-29,-0.505715411
